id,question,rewritten_question,context,answer,strategy
1034,How does the distribution size of the leopard compare to the distribution of other wild cats?,How does the distribution size of the leopard compare to the distribution of other wild cats?,"As of 1996, the leopard had the largest distribution of any wild cat,  although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa. The IUCN notes that within subsaharan Africa the species is ""still numerous and even thriving in marginal habitats"" where other large cats have disappeared, but that populations in North Africa may be extinct. In Asia, data on distribution are mixed: populations in Southwest and Central Asia are small and fragmented; in the northeast portion of the range, they are critically endangered; and in Indian, Southeast Asia, and China, the cat is still relatively abundant.  Leopards also like to live in grasslands, woodlands and riverside forests.","As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa",384d_enhanced_top1
1037,What resembles that of the similarly-sized cougar in the Americas?,What resembles the similarly-sized cougar in the Americas?,"The species' success owes in part to its opportunistic hunting behaviour and its adaptability to a variety of habitats. The leopard consumes virtually any animal it can catch and ranges from rainforest to desert. Its ecological role resembles that of the similarly-sized cougar in the Americas. Physically, the spotted cat most closely resembles the jaguar, although it is of lighter build.",The leopard,384d_enhanced_top1
1038,"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?","What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?","Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae.",Felis pardus,384d_enhanced_top1
1039,What sort of cats are solitary?,What kind of cats are solitary?,"Graceful and stealthy, leopards are famous for their ability to go undetected. They are good, agile climbers, but cannot get down from a tree headfirst, because they do not have the ankle flexibilityâthe only two cats that do are the Margay and the Clouded Leopard. Female leopard. Note the white spots on the back of the ears used for communication with cubs when hunting in long grassAlong with climbing, they are strong swimmers but not as fond of water as tigers; for example, leopards will not normally lie in water. They are mainly nocturnal but can be seen at any time of day and will even hunt during daytime on overcast days. In regions where they are hunted, nocturnal behaviour is more common. These cats are solitary, avoiding one another. However, three or four are sometimes seen together. Hearing and eyesight are the strongest of these cats' senses and are extremely acute. Olfaction is relied upon as well, but not for hunting. When making a threat, leopards stretch their backs, depress their ribcages between their shoulder blades so they stick out, and lower their heads (similar to domestic cats). During the day they may lie in bush, on rocks, or in a tree with their tails hanging below the treetops and giving them away.",leopards,384d_enhanced_top1
1040,Are leopards circular?,Is a leopard the same as a giraffe?,Indian Leopard,no,384d_enhanced_top1
1041,Is the leopard solitary?,Is a leopard solitary?,Leopard resting on a tree,yes,384d_enhanced_top1
1042,What centred in Sierra?,What is the name of the city centre in Sierra Nevada?,The main population centers are:,san juan,384d_enhanced_top1
1043,Felis pardus was what?,What was Felis pardus?,"Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae.","one of the many species described in Linnaeus's 18th-century work, Systema Naturae",384d_enhanced_top1
1044,Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?,The New Zealand Rugby League has featured the Otahuhu Leopards and the Tamaki Leopards since what year?,"Traditionally, the leopard is an uncommon name or mascot for sporting teams, though it has been used in several African soccer teams: the AFC Leopards, formed in 1964, are a soccer club based in Nairobi, Kenya, while the Black Leopards play in South Africa's Premier Soccer League, the Royal Leopards in Swaziland's Premier League, and the Golf Leopards in the Sierra Leone National Premier League. More recently, the leopard emblem has been a part of the English Basketball League since the 1990s with the Essex Leopards and later London Leopards. The New Zealand Rugby League has featured the Otahuhu Leopards and then the Tamaki Leopards.",1990s,384d_enhanced_top1
1045,Were the Leopard men a West African secret society who practised cannibalism ?,What was the name of the secret society that practiced cannibalism in West Africa ?,"The Leopard men were a West African secret society who practised cannibalism. They were centred in Sierra Leone, Liberia and CÃ´te d'Ivoire.",The Leopard men,384d_enhanced_top1
1046,Was the leopard tank a German designed tank which entered service in 1965 ?,Is the leopard tank a German designed tank which entered service in 1965 ?,"The lion passant guardant or ""leopard"" is a frequently used charge in heraldry, most commonly appearing in groups of three. The heraldric leopard lacks spots and sports a mane, making it visually almost identical to the heraldric lion, and the two are often used interchangeably. These traditional lion passant guardants appear in the coat of arms of England and many of its former colonies; more modern naturalistic (leopard-like) depictions appear on the coat of arms of several African nations including Benin, Malawi, Somalia, Democratic Republic of the Congo and  Gabon which uses a black panther. The Leopard is also the unofficial national animal of Germany, replacing the Tiger, which was, along with the eagle, the national animal of Nazi Germany. The leopard tank was a German designed tank which entered service in 1965.",yes,384d_enhanced_top1
1047,Is the black color heritable and caused by only one recessive gene locus ?,Is the black color heritable and caused by only one recessive gene locus ?,"A melanistic morph of the leopard occurs particularly in mountainous areas and rain forests. The black color is heritable and caused by only one recessive gene locus. In some regions, for example on the Malayan Peninsula, up to half of all leopards are black. In Africa black leopards seem to be most common in the Ethiopian Highlands. While they are commonly called black panthers, the term is not applied exclusively to leopards. Black leopards are less successful on the African plains because their colouration makes them stand out.",The black color is heritable and caused by only one recessive gene locus,384d_enhanced_top1
1048,"Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?",Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (  big cats ('',"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar. Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers.",yes,384d_enhanced_top1
1049,Can a panther be any of several species of large felid?,Can a panther be any of several species of large felids?,"A panther can be any of several species of large felid; in North America, the term refers to cougars, in South America, jaguars, and elsewhere, leopards. Early naturalists distinguished between leopards and panthers not by colour (a common misconception), but by the length of the tail panthers having longer tails than leopards.",yes,384d_enhanced_top1
1050,Is the leopard an agile and graceful predator?,Is a leopard an agile and graceful predator?,"The species' success owes in part to its opportunistic hunting behaviour and its adaptability to a variety of habitats. The leopard consumes virtually any animal it can catch and ranges from rainforest to desert. Its ecological role resembles that of the similarly-sized cougar in the Americas. Physically, the spotted cat most closely resembles the jaguar, although it is of lighter build.","The leopard consumes virtually any animal it can catch and ranges from rainforest to desert. Its ecological role resembles that of the similarly-sized cougar in the Americas. Physically, the spotted cat most closely resembles the jaguar, although it is of lighter build.",384d_enhanced_top1
1051,Is Liechtenstein bordered by Switzerland?,Is Liechtenstein bordered by Switzerland?,"The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.",yes,384d_enhanced_top1
1053,Is Liechtenstein the smallest German-speaking country in the world?,Is Liechtenstein the smallest German speaking country in the world?,"Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.",no,384d_enhanced_top1
1055,Was Liechtenstein part of the ancient Roman province of Raetia?,What is the name of the ancient Roman province of Raetia?,"At one time, the territory of Liechtenstein formed a part of the ancient Roman province of Raetia. For centuries this territory, geographically removed from European strategic interests, had little impact on the tide of European history. Prior to the reign of its current dynasty, the region was enfeoffed to a line of the counts of Hohenems.",Liechtenstein,384d_enhanced_top1
1057,When was the first factory opened?,When was the first factory opened?,"Liechtenstein also had many advances in the nineteenth century, as in 1836, the first factory was opened, making ceramics. In 1861, the Savings and Loans Bank was founded, as was the first cotton-weaving mill. Two bridges over the Rhine were built in 1868, and in 1872 a railway line across Liechtenstein was constructed.",1836,384d_enhanced_top1
1059,How many municipalities is Liechtenstein divided into?,How many municipalities are there in Liechtenstein?,"The principality of Liechtenstein is divided into 11 municipalities called gemeinden (singular gemeinde). The gemeinden mostly consist only of a single town. Five of them fall within the electoral district Unterland (the lower county), and the remainder within Oberland (the upper county).",11,384d_enhanced_top1
1061,What is the national currency of Liechtenstein?,What is the national currency of Liechtenstein?,"Liechtenstein participates in a customs union with Switzerland and employs the Swiss franc as national currency. The country imports more than 90% of its energy requirements. Liechtenstein has been a member of the European Economic Area (an organization serving as a bridge between the European Free Trade Association (EFTA) and the European Union) since May 1995 . The government is working to harmonize its economic policies with those of an integrated Europe. Since 2002, Liechtenstein's rate of unemployment has doubled, although it stood at only 2.2% in the third quarter of 2004. Currently, there is only one hospital in Liechtenstein, the Liechtensteinisches Landesspital in Vaduz. The GDP (PPP) is $1.786 billion CIA World Factbook ( link)  and $25,000 per person.",Swiss franc,384d_enhanced_top1
1063,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,What is the name of the county that Leichtenstein worked for to promote the county's image by prosecuting international money-laundering?,"Recently, Liechtenstein has shown strong determination to prosecute any international money-laundering and worked to promote the country's image as a legitimate financing center.",Liechtenstein,384d_enhanced_top1
1064,What company administers Leichtenstein's railways?,What company administers Leichtenstein's railways?,"Rail: 9.5 kilometres (5.9 mi) of railway connect Austria and Switzerland through Liechtenstein. The country's railways are administered by the Austrian Federal Railways as part of the route between Feldkirch, Austria, and Buchs SG, Switzerland. Four stations in Liechtenstein, namely Schaan-Vaduz, Forst Hilti, Nendeln, and Schaanwald, are served by an irregularly stopping train service running between Feldkirch and Buchs. While EuroCity and other long distance international trains also make use of the route, these do not call at Liechtenstein stations.",Austrian Federal Railways,384d_enhanced_top1
1066,What percentage of Liechtenstein's population is foreign-born?,What percentage of Liechtenstein's population is foreign-born?,"Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.",one third,384d_enhanced_top1
1068,Is there an airport in Liechtenstein?,Is there an airport in Liechtenstein?,Air: There is no airport in Liechtenstein (the nearest large airport is ZÃ¼rich Airport). There is a small heliport at Balzers in Liechtenstein   available for charter helicopter flights.,There is no airport in Liechtenstein,384d_enhanced_top1
1070,Is Liechtenstein heavily urbanized?,Is Liechtenstein heavily urbanized?,"The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.",it is not heavily urbanized,384d_enhanced_top1
1072,Is Liechtenstein doubly landlocked?,Is Liechtenstein a landlocked state?,Liechtenstein is one of only two doubly landlocked countries in the worldâbeing a landlocked country wholly surrounded by other landlocked countriesâthe other is Uzbekistan. It is the only country with a predominantly German-speaking population that does not share a border with the Federal Republic of Germany.,yes,384d_enhanced_top1
1074,Does Liechtenstein have an army?,Is Liechtenstein a country with an army?,Liechtenstein is one of the few countries in the world to have no army; defense is the responsibility of Switzerland.,no,384d_enhanced_top1
1076,When was Liechtenstein's current constitution adopted?,When was Liechtenstein's constitution adopted?,"Liechtenstein's current constitution was adopted in October 1921. It established in Liechtenstein a constitutional monarchy ruled by the reigning prince of the Princely House of Liechtenstein. It also established a parliamentary system, although the reigning prince retained substantial political authority.",October 1921,384d_enhanced_top1
1078,What is the official language of Liechtenstein?,What is the official language of Liechtenstein?,"Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.",German,384d_enhanced_top1
1080,What countries border Liechtenstein?,Which countries border Liechtenstein?,Liechtenstein is one of only two doubly landlocked countries in the worldâbeing a landlocked country wholly surrounded by other landlocked countriesâthe other is Uzbekistan. It is the only country with a predominantly German-speaking population that does not share a border with the Federal Republic of Germany.,Uzbekistan,384d_enhanced_top1
1082,What Roman province was Liechtenstein part of?,What was the name of the Roman province that Liechtenstein was part of?,"At one time, the territory of Liechtenstein formed a part of the ancient Roman province of Raetia. For centuries this territory, geographically removed from European strategic interests, had little impact on the tide of European history. Prior to the reign of its current dynasty, the region was enfeoffed to a line of the counts of Hohenems.",Raetia,384d_enhanced_top1
1084,How many municipalities are within Oberland?,How many municipalities are within Oberland?,"There are 25 cities with a population of at least 100,000. Until now, several of the largest cities have a metropolitan area: ConstanÅ£a (550,000 people), BraÅov, IaÅi (both with around 400,000) and Oradea (260,000) and several others are planned: TimiÅoara (400,000), Cluj-Napoca (400,000), GalaÅ£i-Braila (600,000), Craiova (370,000), Bacau and PloieÅti.    ""Map of Romanian municipalities that can have metorpolitan areas in maroon""",25,384d_enhanced_top1
1086,What is the smallest German-speaking country in the world?,What is the smallest German-speaking country in the world?,"Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.",Liechtenstein,384d_enhanced_top1
1087,"The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?",In what year was the first cotton-weaving mill established?,"Liechtenstein also had many advances in the nineteenth century, as in 1836, the first factory was opened, making ceramics. In 1861, the Savings and Loans Bank was founded, as was the first cotton-weaving mill. Two bridges over the Rhine were built in 1868, and in 1872 a railway line across Liechtenstein was constructed.",1861,384d_enhanced_top1
1088,What enjoys one of the world's highest standards of living?,What is one of the world's highest standards of living?,The Prince of Liechtenstein is the world's sixth wealthiest with an estimated wealth of $4 billion. The country's population enjoys one of the world's highest standards of living.,The country's population enjoys one of the world's highest standards of living,384d_enhanced_top1
1089,Does the state court rule on the conformity of laws?,The state court is a court of appeals. The state court is a court of appeals. The state court is a court of appeals. The state court is a court of appeals. The state court is a,"Most civil disputes appear before a State Court; appeals are heard before the High Court. The Supreme Court is the country's highest court, and hears final cassation appeals and conducts case reviews. Other courts include the Commercial Court, which handles bankruptcy and insolvency; a State Administrative Court to hear administrative law cases against the government; a Constitutional Court to hear disputes concerning legality of law, general elections, dissolution of political parties, and the scope of authority of state institutions; and a Religious Court to deal with specific religious cases.",High Court,384d_enhanced_top1
1090,What do most recognizable international company and largest employer have in common?,What is the most recognizable international company and largest employer?,"Liechtenstein's most recognizable international company and largest employer is Hilti, a manufacturer of concrete fastening systems. Liechtenstein also is the home of the Curta calculator.",Hilti,384d_enhanced_top1
1092,Was Liechtenstein completed in November 2000?,Liechtenstein was completed in what year?,"Liechtenstein's current constitution was adopted in October 1921. It established in Liechtenstein a constitutional monarchy ruled by the reigning prince of the Princely House of Liechtenstein. It also established a parliamentary system, although the reigning prince retained substantial political authority.",unanswerable,384d_enhanced_top1
1093,What completed in November?,What was completed in November?,"An academic conference on Coolidge was held July 30â31, 1998, at the John F. Kennedy Library to mark the 75th anniversary of his lantern-light homestead inaugural.",Coolidge's homestead,384d_enhanced_top1
1094,The State Court rules what?,What does the State Court do?,"Most civil disputes appear before a State Court; appeals are heard before the High Court. The Supreme Court is the country's highest court, and hears final cassation appeals and conducts case reviews. Other courts include the Commercial Court, which handles bankruptcy and insolvency; a State Administrative Court to hear administrative law cases against the government; a Constitutional Court to hear disputes concerning legality of law, general elections, dissolution of political parties, and the scope of authority of state institutions; and a Religious Court to deal with specific religious cases.","a State Administrative Court to hear administrative law cases against the government; a Constitutional Court to hear disputes concerning legality of law, general elections, dissolution of political parties, and the scope of authority of state institutions; and a Religious Court to deal with specific religious cases",384d_enhanced_top1
1095,The Historical Society of the Principality of Liechtenstein plays what?,What is the name of a group of people who are members of the Historical Society of the Principality of Liechtenstein?,"As a result of its small size Liechtenstein has been strongly affected by external cultural influences, most notably those originating in the southern German-speaking areas of Europe, including Austria, Bavaria, Switzerland, and Tyrol. The Historical Society of the Principality of Liechtenstein plays a role in preserving the culture and history of the country.",Principality of Liechtenstein,384d_enhanced_top1
1096,Is the museum collection also the national art collection of Liechtenstein ?,Is the national art collection of Liechtenstein the same as the national art collection of Liechtenstein ?,The Kunstmuseum Liechtenstein is the museum of modern and contemporary art in Vaduz and the national gallery of the Principality of Liechtenstein.,The Kunstmuseum Liechtenstein is the museum of modern and contemporary art in Vaduz and the national gallery of the Principality of Liechtenstein.,384d_enhanced_top1
1097,Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,Is there a small heliport at Balzers in Liechtenstein ?,Air: There is no airport in Liechtenstein (the nearest large airport is ZÃ¼rich Airport). There is a small heliport at Balzers in Liechtenstein   available for charter helicopter flights.,There is a small heliport at Balzers in Liechtenstein available for charter helicopter flights.,384d_enhanced_top1
1098,Are nationals referred to by the plural : Liechtensteiners ?,Are nationals referred to by the plural : Liechtensteiners ?,"Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.",yes,384d_enhanced_top1
1099,"Is it a winter sports resort , although it is perhaps best known as a tax haven ?","Is it a winter sports resort , although it is perhaps best known as a tax haven ?","The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.",yes,384d_enhanced_top1
1100,Is it a winter sports resort?,Is it a winter sports resort?,"Although many tourists visit for the ideal weather during the summer, winter also attracts hundreds of thousands for its Christmas festivities and winter sports and activities such as skiing, dog sledding and Nordic walking. Finland is regarded as the home of Saint Nicholas or Santa Claus. Santaâs Post Office is also located in Finland, up in the northern Lapland region. Above the Arctic Circle, there is a polar night, a period when the sun doesn't rise for days or weeks, or even months. Lapland, the extreme north of Finland, is so far north that the Aurora Borealis, atmospheric fluorescence, is seen regularly in winter. This exquisite spectacle draws people from around the globe, particularly from Japan.",yes,384d_enhanced_top1
1101,Is it the smallest german-speaking country in the world?,Is it the smallest German speaking country in the world?,"Liechtenstein is the fourth smallest country of Europe, after the Vatican City, Monaco, and San Marino. Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.",no,384d_enhanced_top1
1102,"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?","What happened in lower austria , silesia , and styria , though in all cases these territories were held in fief under other more senior feudal lords ?","The Liechtenstein dynasty, from which the principality takes its name (rather than vice-versa), comes from Castle Liechtenstein in faraway Lower Austria, which the family possessed from at least 1140 to the thirteenth century, and from 1807 onward. Through the centuries, the dynasty acquired vast swathes of land, predominantly in Moravia, Lower Austria, Silesia, and Styria, though in all cases, these territories were held in fief under other more senior feudal lords, particularly under various lines of the Habsburg family, to whom several Liechtenstein princes served as close advisors. Thus, and without any territory held directly under the Imperial throne, the Liechtenstein dynasty was unable to meet a primary requirement to qualify for a seat in the Imperial diet, the Reichstag.",the dynasty acquired vast swathes of land,384d_enhanced_top1
1103,"Did Webster write, ""I can now sleep of nights""?","Is ""I can now sleep of nights"" the same as ""I can now sleep of nights""?","Each measure obtained a majority, and, by September 20, President Fillmore had signed them into law. Webster wrote, ""I can now sleep of nights.""",yes,384d_enhanced_top1
1105,Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,How many years after Fillmore's presidency did the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) occur?,"Another issue that presented itself during Fillmore's presidency was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution). Kossuth wanted the United States to abandon its non-intervention policies when it came to European affairs and recognize Hungaryâs independence. The problem came with the enormous support Kossuth received from German-American immigrants to the United States (who were essential in the re-election of both Whigs and Democrats). Fillmore refused to change American policy, and decided to remain neutral despite the political implications that neutrality would produce.",2,384d_enhanced_top1
1107,"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?","Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?","He died at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke.  His last words were alleged to be, upon being fed some soup, ""the nourishment is palatable.""  On January 7 each year, a ceremony is held at his grave site in the Forest Lawn Cemetery in Buffalo.",yes,384d_enhanced_top1
1109,Who got Seward elected to the senate?,Who got Seward elected to the senate?,Fillmore was also selected in part to block New York state machine boss Thurlow Weed from receiving the vice presidential nomination (and his front man William H. Seward from receiving a position in Taylor's cabinet). Weed ultimately got Seward elected to the senate. This competition between Seward and Fillmore led to Seward's becoming a more vocal part of cabinet meetings and having more of a voice than Fillmore in advising the administration. The battle would continue even after Taylor's death.,Thurlow Weed,384d_enhanced_top1
1111,Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,"Another important legacy of Fillmore's administration was the sending of Commodore Matthew C. Perry to open Japan to Western trade, though Perry did not reach Japan until Franklin Pierce had replaced Fillmore as president.",Japan,384d_enhanced_top1
1113,What is The Remarkable Millard Fillmore?,What is The Remarkable Millard Fillmore?,Millard Fillmore postage stamp,postage stamp,384d_enhanced_top1
1115,Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Did Fillmore have a law partnership before or after he founded the private University of Buffalo?,"Fillmore was one of the founders of the University of Buffalo. The school was chartered by an act of the New York State Legislature on May 11, 1846, and at first was only a medical school.  Fillmore was the first Chancellor, a position he maintained while both Vice President and President.  Upon completing his presidency, Fillmore returned to Buffalo, where he continued to serve as chancellor.",before,384d_enhanced_top1
1117,Did Fillmore run for President a second time?,How many times did Fillmore run for President?,"He ran in the election of 1856 as the party's candidate, attempting to win a non-consecutive second term as President (a feat accomplished only once in American politics, by Grover Cleveland).  His running mate was Andrew Jackson Donelson, nephew of former president Andrew Jackson. Fillmore and Donelson finished third, carrying only the state of Maryland and its eight electoral votes; but he won 21.6% of the popular vote, one of the best showings ever by a Presidential third-party candidate.",2,384d_enhanced_top1
1119,How long after the death of his first wife did Fillmore marry Caroline McIntosh?,How long after his first wife died did Fillmore marry Caroline McIntosh?,"On February 10, 1858, after the death of his first wife, Fillmore married Caroline McIntosh, a wealthy widow. Their combined wealth allowed them to purchase a big house in Buffalo, New York. The house became the center of hospitality for visitors, until her health began to decline in the 1860s.",1858-February-10,384d_enhanced_top1
1120,Was Millard Fillmore the thirteenth President of the United States?,Who was the thirteenth President of the United States?,"Millard Fillmore (January 7, 1800   March 8, 1874) was the thirteenth President of the United States, serving from 1850 until 1853, and the last member of the Whig Party to hold that office. He was the second Vice President to assume the Presidency upon the death of a sitting President, succeeding Zachary Taylor who died of acute gastroenteritis. Fillmore was never elected President; after serving out Taylor's term, he failed to gain the nomination for the Presidency of the Whigs in the 1852 presidential election, and, four years later, in the 1856 presidential election, he again failed to win election as President as the Know Nothing Party and Whig candidate.",Millard Fillmore,384d_enhanced_top1
1123,"Was Millard Fillmore born on January 7, 1800?",Millard Fillmore was born on what date?,Millard Fillmore postage stamp,1903,384d_enhanced_top1
1126,"Did Millard Fillmore die on March 8, 1974?","Did Millard Fillmore die on March 8, 1974?","Millard Fillmore (January 7, 1800   March 8, 1874) was the thirteenth President of the United States, serving from 1850 until 1853, and the last member of the Whig Party to hold that office. He was the second Vice President to assume the Presidency upon the death of a sitting President, succeeding Zachary Taylor who died of acute gastroenteritis. Fillmore was never elected President; after serving out Taylor's term, he failed to gain the nomination for the Presidency of the Whigs in the 1852 presidential election, and, four years later, in the 1856 presidential election, he again failed to win election as President as the Know Nothing Party and Whig candidate.",no,384d_enhanced_top1
1129,Where was Millard Fillmore born?,Where was Millard Fillmore born?,"Fillmore was born in a log cabin in Summerhill, New York, to Nathaniel and Phoebe Millard Fillmore, as the second of nine children and the eldest son.    Though a Unitarian in later life,   ","Summerhill, New York",384d_enhanced_top1
1132,To whom was Millard Fillmore born to?,Who was Millard Fillmore born to?,"Fillmore was born in a log cabin in Summerhill, New York, to Nathaniel and Phoebe Millard Fillmore, as the second of nine children and the eldest son.    Though a Unitarian in later life,   ",Nathaniel and Phoebe Millard Fillmore,384d_enhanced_top1
1135,Who did Millard Fillmore fall in love with?,Who did Millard Fillmore fall in love with?,*Queen Victoria said that Millard Fillmore was the handsomest man she'd ever seen.,Queen Victoria,384d_enhanced_top1
1138,What did Taylor and Fillmore disagree upon?,What did Taylor and Fillmore disagree on?,"Taylor and Fillmore disagreed on the slavery issue in the new western territories taken from Mexico in the Mexican-American War. Taylor wanted the new states to be free states, while Fillmore supported slavery in those states as a means of appeasing the South. In his own words: ""God knows that I detest slavery, but it is an existing evil ... and we must endure it and give it such protection as is guaranteed by the Constitution.""",the slavery issue in the new western territories taken from Mexico in the Mexican-American War,384d_enhanced_top1
1141,How did Fillmore ascend to the presidency?,How did Fillmore ascend to the presidency?,"As president, Fillmore dealt with increasing party divisions within the Whig party; party harmony became one of his primary objectives. He tried to unite the party by pointing out the differences between the Whigs and the Democrats (by proposing tariff reforms that negatively reflected on the Democratic Party). Another primary objective of Fillmore was to preserve the Union from the intensifying slavery debate.",He tried to unite the party by pointing out the differences between the Whigs and the Democrats,384d_enhanced_top1
1144,How did the supporters of Henry Clay feel about Fillmore in 1848?,How did the supporters of Henry Clay feel about Fillmore in 1848?,"At the Whig national convention in 1848, the nomination of Gen. Zachary Taylor for president angered the supporters of Henry Clay as well as the opponents of slavery extension into the territory gained by the U.S.-Mexican War. A group of practical Whig politicians nominated Fillmore for vice president, believing that he would heal party wounds and help the ticket carry New York state.",angered,384d_enhanced_top1
1147,Who was first apprenticed to a fuller to learn the cloth-making trade?,Who was first apprenticed to a fuller to learn the cloth-making trade?,"*J. P. Muirhead, Origin and Progress of the Mechanical Inventions of James Watt (London, 1854).  ",James Watt,384d_enhanced_top1
1148,He founded the private university of buffalo on what date?,When was the private university of buffalo founded?,"In 1846, he founded the private University of Buffalo, which today is the public State University of New York at Buffalo (UB, University at Buffalo), the largest school in the New York state university system.",1846,384d_enhanced_top1
1149,Who or what fell in love with abigail powers?,Who fell in love with Abigail Powers?,"His daughter Abigail (""Nabby"") was married to Congressman William Stephens Smith and died of cancer in 1816. His son Charles died as an alcoholic in 1800. His son Thomas and his family lived with Adams and Louisa Smith (Abigail's niece by her brother William) to the end of Adams's life.  Ferling (1992) ch 20",William Stephens Smith,384d_enhanced_top1
1150,Was Fillmore one of the founders of the University of Buffalo?,Who was the founder of the University of Buffalo?,"In 1846, he founded the private University of Buffalo, which today is the public State University of New York at Buffalo (UB, University at Buffalo), the largest school in the New York state university system.","he founded the private University of Buffalo, which today is the public State University of New York at Buffalo (UB, University at Buffalo), the largest school in the New York state university system.",384d_enhanced_top1
1151,Was Another primary objective of Fillmore to preserve the Union from the intensifying slavery debate?,Is Fillmore's goal to preserve the Union from the intensification of slavery debate?,"As president, Fillmore dealt with increasing party divisions within the Whig party; party harmony became one of his primary objectives. He tried to unite the party by pointing out the differences between the Whigs and the Democrats (by proposing tariff reforms that negatively reflected on the Democratic Party). Another primary objective of Fillmore was to preserve the Union from the intensifying slavery debate.",yes,384d_enhanced_top1
